year,win,lose,tie
1994,33,34,17
1995,20,22,6
1996,41,31,10
1997,35,28,19
1998,24,43,15
1999,30,34,18
2000,43,33,6
2001,22,47,13
2002,22,50,10
2003,24,45,13
2004,28,39,15
2006,37,45,0
2007,35,47,0
2008,38,44,0
2009,41,41,0
2010,32,50,0
2011,30,52,0
2012,38,44,0
2013,15,33,0
2014,29,53,0
2015,38,44,0
2016,47,35,0
2017,35,47,0
2018,44,38,0
